player_name,country,minutes,goals,assists,shots,key_passes,progressive_passes,progressive_carries,successful_dribbles,tackles,interceptions,aerial_duels_won,pass_completion_pct,turnovers,club_level_score,recent_form_score,expected_minutes_score,non_penalty_goals,shots_in_box,touches_in_box,through_balls,crosses_into_box,shot_creating_actions_proxy,passes_into_final_third,carries_into_final_third,recoveries,pressures,long_passes,saves,clean_sheets,aerial_threat,xg_proxy,xa_proxy,yellow_cards,red_cards,recent_appearances,height_in_cm,market_value_score,tactical_fit_score,final_squad_selection_score,injury_availability_score,injury_severity_score,injury_status,recent_injury_count,is_injured,injury_source_url,caps,international_goals,data_source,data_refresh_date
Jan Kuchta,Czech Republic,347,3,1,14,5,11,6,2,2,2,1,77.3,2,56.0,57.4,63.6,3,10,29,1,1,7,7,3,3,7,1,0,0,2,2.84,0.82,0.0,0.0,5,185.0,52.4,62.5,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,31,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Lukáš Červ,Czech Republic,1235,1,1,12,8,31,16,6,9,7,5,81.5,7,56.8,57.0,46.8,1,7,17,2,1,10,20,9,17,24,3,0,0,6,1.13,0.9,2.0,0.0,14,182.0,54.6,53.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,16,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Mojmír Chytil,Czech Republic,143,0,0,2,1,3,2,1,1,1,0,71.9,1,41.0,27.6,55.2,0,1,2,0,0,1,2,1,1,3,0,0,0,0,0.05,0.02,1.0,0.0,6,187.0,9.5,49.3,100,100.0,0.0,Available,,False,,22,6,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
David Jurásek,Czech Republic,964,0,0,5,3,23,11,4,8,7,5,77.6,5,56.8,39.9,48.9,0,3,7,0,7,3,15,6,17,19,3,0,2,5,0.15,0.08,0.0,0.0,16,183.0,54.6,60.8,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,17,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Pavel Šulc,Czech Republic,2226,12,6,64,30,70,39,15,11,10,5,79.2,13,79.2,80.1,59.5,12,42,100,8,4,42,46,21,21,42,8,0,0,10,11.46,4.95,4.0,0.0,37,177.0,68.5,69.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,20,5,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Jindřich Staněk,Czech Republic,540,0,0,1,0,10,3,1,4,4,3,77.3,2,55.1,37.6,41.2,0,0,0,0,0,0,6,2,9,8,6,14,1,3,0.0,0.0,0.0,0.0,6,192.0,49.7,53.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,14,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Lukáš Provod,Czech Republic,701,0,2,8,10,15,9,4,4,4,3,71.6,6,41.0,45.2,69.4,0,6,14,3,6,14,10,5,7,14,0,0,0,4,0.3,1.65,1.0,0.0,8,191.0,9.5,63.1,100,100.0,0.0,Available,,False,,37,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Michal Sadílek,Czech Republic,600,0,0,4,2,19,8,3,5,4,1,82.7,3,59.9,40.6,66.9,0,2,5,0,0,2,12,4,10,12,2,0,0,1,0.1,0.05,0.0,0.0,8,169.0,63.4,66.5,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,34,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Tomáš Chorý,Czech Republic,451,0,0,6,3,12,7,3,2,2,2,75.5,3,51.4,35.1,53.6,0,4,9,1,0,3,8,4,4,9,1,0,0,2,0.2,0.08,1.0,0.0,7,199.0,39.1,54.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,21,6,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Jaroslav Zelený,Czech Republic,180,0,0,1,0,2,1,0,2,2,1,76.1,1,41.0,28.0,55.5,0,1,2,0,0,0,1,1,4,4,2,0,0,1,0.05,0.0,1.0,0.0,3,190.0,9.5,47.4,100,100.0,0.0,Available,,False,,22,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
David Douděra,Czech Republic,439,0,1,5,6,11,7,3,2,2,1,76.4,3,54.2,48.9,44.0,0,3,7,1,4,8,7,4,4,9,1,0,0,1,0.15,0.85,1.0,0.0,7,175.0,47.0,56.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,16,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Tomáš Souček,Czech Republic,2533,6,0,34,7,94,32,12,31,27,16,83.8,10,86.6,75.6,91.3,6,19,45,1,0,7,61,18,60,55,33,0,0,18,5.63,0.18,4.0,0.0,39,192.0,71.1,89.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,89,17,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Lukáš Horníček,Czech Republic,4970,0,0,6,3,93,40,14,33,27,34,79.7,14,74.7,59.9,50.3,0,3,7,1,0,3,60,22,68,70,64,133,10,34,0.15,0.08,4.0,0.0,55,198.0,68.5,62.4,100,100.0,0.0,Available,,False,,1,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Alexandr Sojka,Czech Republic,52,0,0,1,0,1,1,0,0,0,0,75.1,1,41.0,26.9,29.1,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,0.0,0.0,2,188.0,9.5,34.9,100,100.0,0.0,Available,,False,,1,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Hugo Sochůrek,Czech Republic,0,0,0,1,0,1,1,0,0,0,0,75.1,1,41.0,19.8,21.9,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,,,0,183.0,9.5,30.9,100,100.0,0.0,Available,,False,,1,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Denis Višinský,Czech Republic,492,1,0,9,3,8,7,3,1,1,1,74.7,4,50.0,48.3,31.5,1,6,15,0,0,3,5,4,3,9,1,0,0,2,1.08,0.08,1.0,0.0,12,178.0,35.0,47.3,100,100.0,0.0,Available,,False,,1,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Raúl Rangel,Mexico,0,0,0,0,0,2,1,0,1,1,1,78.9,0,57.7,29.3,35.7,0,0,0,0,0,0,1,1,1,1,1,2,0,1,0.0,0.0,,,0,190.0,57.1,52.1,100,100.0,0.0,Available,,False,,13,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Jorge Sánchez,Mexico,540,0,1,3,5,16,6,2,6,5,2,77.0,3,55.1,49.8,64.5,0,2,5,1,5,7,10,3,11,11,1,0,1,2,0.1,0.82,0.0,0.0,7,181.0,49.7,64.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,58,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
César Montes,Mexico,2416,4,1,21,7,77,23,8,30,25,17,82.8,9,59.5,70.9,78.8,4,11,26,2,1,9,50,13,58,47,30,0,5,18,3.67,0.88,6.0,0.0,29,195.0,62.2,76.8,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,66,4,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Edson Álvarez,Mexico,1081,0,1,6,6,43,15,5,13,12,7,85.0,4,75.6,57.7,76.9,0,3,7,1,1,8,28,8,26,24,15,0,0,7,0.15,0.85,6.0,0.0,17,190.0,80.5,79.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,97,7,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Johan Vásquez,Mexico,3487,1,0,14,5,109,35,12,41,35,20,83.6,12,81.8,71.1,74.0,1,7,16,1,0,5,71,19,79,68,45,0,7,21,1.13,0.12,2.0,0.0,39,185.0,68.5,75.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,45,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Érik Lira,Mexico,0,0,0,0,0,3,1,0,1,1,0,83.8,0,60.4,30.8,39.9,0,0,0,0,0,0,2,1,2,2,1,0,0,0,0.0,0.0,,,0,172.0,64.8,55.9,100,100.0,0.0,Available,,False,,24,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Luis Romo,Mexico,0,0,0,0,0,3,1,0,1,1,0,82.5,0,56.8,28.8,56.8,0,0,0,0,0,0,2,1,2,2,1,0,0,0,0.0,0.0,,,0,182.0,54.6,63.2,100,100.0,0.0,Available,,False,,62,4,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Álvaro Fidalgo,Mexico,749,1,0,9,3,17,10,4,4,4,2,82.5,4,82.9,54.8,29.3,1,5,12,0,0,3,11,6,9,15,2,0,0,3,1.03,0.08,0.0,0.0,13,174.0,62.2,49.6,100,100.0,0.0,Available,,False,,3,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Raúl Jiménez,Mexico,2562,10,3,65,25,97,45,17,18,16,8,77.0,18,80.1,77.4,89.4,10,46,109,6,2,31,63,25,32,50,7,0,0,14,10.1,2.72,5.0,0.0,43,187.0,52.4,76.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,123,44,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Alexis Vega,Mexico,0,0,0,1,1,3,2,1,1,1,0,78.2,1,61.7,31.6,52.6,0,1,2,0,1,1,2,1,1,2,0,0,0,0,0.05,0.02,,,0,174.0,68.5,63.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,51,7,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Santiago Giménez,Mexico,1037,1,3,16,16,45,22,8,6,5,3,82.1,5,89.7,67.0,61.9,1,11,26,4,2,22,29,12,11,20,5,0,0,4,1.33,2.5,2.0,0.0,18,183.0,91.1,69.3,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,47,6,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Carlos Acevedo,Mexico,0,0,0,0,0,1,1,0,1,1,0,77.6,0,54.2,27.3,27.2,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0.0,0.0,,,0,184.0,47.0,45.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,7,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Guillermo Ochoa,Mexico,0,0,0,0,0,2,0,0,1,1,0,76.0,0,49.3,24.5,71.6,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0.0,0.0,,,0,185.0,33.2,67.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,152,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Armando González,Mexico,0,0,0,1,1,2,1,1,0,0,0,74.5,1,50.8,25.3,27.2,0,1,2,0,0,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,179.0,37.4,39.4,100,100.0,0.0,Available,,False,,7,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Israel Reyes,Mexico,0,0,0,0,0,2,1,0,1,1,0,78.3,0,56.0,28.3,44.1,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0.0,0.0,,,0,180.0,52.4,53.7,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,33,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Julián Quiñones,Mexico,0,0,0,1,1,3,2,1,0,0,0,78.5,1,68.4,32.1,37.8,0,1,2,0,0,1,2,1,1,2,0,0,0,0,0.05,0.02,,,0,180.0,71.1,52.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,21,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Orbelín Pineda,Mexico,2496,4,2,32,15,90,34,13,25,22,6,82.5,13,59.5,73.0,82.6,4,19,45,3,1,19,58,19,47,49,8,0,0,8,4.07,1.78,7.0,0.0,34,169.0,62.2,78.9,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,91,12,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Obed Vargas,Mexico,750,0,1,6,6,17,10,4,5,4,2,82.2,4,82.0,52.6,32.5,0,4,9,1,1,8,11,6,9,15,2,0,0,2,0.2,0.85,2.0,0.0,13,175.0,59.8,50.8,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,6,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Gilberto Mora,Mexico,0,0,0,1,0,2,1,1,0,0,0,75.6,1,54.2,27.3,27.2,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,,,0,168.0,47.0,47.4,100,100.0,0.0,Available,,False,,7,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Mateo Chávez,Mexico,1135,1,2,10,9,22,12,4,9,8,5,76.7,6,65.8,57.1,43.2,1,6,14,2,10,13,14,7,18,23,3,0,2,6,1.08,1.62,6.0,0.0,25,177.0,47.0,52.2,100,100.0,0.0,Available,,False,,9,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
César Huerta,Mexico,594,1,0,10,3,18,10,4,3,3,1,77.6,4,65.5,53.3,52.1,1,7,17,1,4,3,12,6,6,12,2,0,0,2,1.13,0.08,5.0,0.0,11,171.0,57.1,61.1,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,26,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Guillermo Martínez,Mexico,0,0,0,1,1,2,1,1,0,0,0,74.9,1,52.0,26.1,33.5,0,1,2,0,0,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,190.0,41.0,43.6,100,100.0,0.0,Available,,False,,11,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Jesús Gallardo,Mexico,0,0,0,0,0,3,1,0,1,1,0,78.0,0,55.1,27.8,67.4,0,0,0,0,1,0,2,1,2,2,0,0,0,0,0.0,0.0,,,0,178.0,49.7,66.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,120,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Luis Chávez,Mexico,164,0,0,1,0,5,2,1,2,2,1,82.9,1,61.0,39.3,54.4,0,1,2,0,0,0,3,1,4,4,2,0,0,1,0.05,0.0,0.0,0.0,5,178.0,66.7,64.3,100,65.0,35.0,Recently returned: Muscle injury; Muscle injury,1.0,False,https://github.com/salimt/football-datasets,44,4,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Roberto Alvarado,Mexico,0,0,0,1,1,3,2,1,1,1,0,77.3,1,59.0,30.1,60.0,0,1,2,0,1,1,2,1,1,2,0,0,0,0,0.05,0.02,,,0,176.0,61.0,66.2,100,100.0,0.0,Available,,False,,66,5,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Brian Gutiérrez,Mexico,0,0,0,1,0,2,1,1,0,0,0,76.9,1,57.7,29.3,21.9,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,,,0,182.0,57.1,46.5,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,6,2,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ronwen Williams,South Africa,0,0,0,0,0,2,0,0,1,1,0,73.1,0,41.0,19.8,71.6,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0.0,0.0,,,0,184.0,9.5,62.3,100,100.0,0.0,Available,,False,,62,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Thabang Matuludi,South Africa,0,0,0,0,0,1,1,0,1,1,0,71.1,1,41.0,19.8,24.0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0.0,0.0,,,0,,9.5,34.1,100,100.0,0.0,Available,,False,,2,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Khulumani Ndamane,South Africa,0,0,0,0,0,1,0,0,1,1,0,75.1,1,41.0,19.8,34.6,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0.0,0.0,,,0,,9.5,35.9,100,100.0,0.0,Available,,False,,5,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Teboho Mokoena,South Africa,0,0,0,0,0,2,1,0,1,1,0,75.1,1,41.0,19.8,67.4,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0.0,0.0,,,0,176.0,9.5,64.0,100,100.0,0.0,Available,,False,,51,9,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Thalente Mbatha,South Africa,0,0,0,1,0,1,1,0,1,1,0,75.1,1,41.0,19.8,50.5,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,,,0,180.0,9.5,48.7,100,100.0,0.0,Available,,False,,14,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Aubrey Modiba,South Africa,0,0,0,0,0,2,1,0,1,1,0,71.1,1,41.0,19.8,65.3,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0.0,0.0,,,0,167.0,9.5,56.8,100,100.0,0.0,Available,,False,,44,3,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Oswin Appollis,South Africa,0,0,0,1,1,2,1,0,0,0,0,71.1,1,41.0,19.8,54.7,0,1,2,0,1,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,171.0,9.5,51.0,100,100.0,0.0,Available,,False,,25,8,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Tshepang Moremi,South Africa,0,0,0,1,1,1,1,0,0,0,0,71.1,1,41.0,19.8,41.0,0,1,2,0,1,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,,9.5,43.4,100,100.0,0.0,Available,,False,,9,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Lyle Foster,South Africa,1462,3,3,28,18,51,29,11,7,6,4,79.6,9,87.1,68.5,71.1,3,20,47,4,2,24,33,16,12,28,5,0,0,6,3.34,2.55,4.0,0.0,27,185.0,72.3,72.6,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,26,10,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Relebohile Mofokeng,South Africa,0,0,0,1,1,1,1,0,0,0,0,71.1,1,41.0,19.8,46.2,0,1,2,0,1,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,166.0,9.5,46.3,100,100.0,0.0,Available,,False,,12,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Themba Zwane,South Africa,0,0,0,1,0,2,1,0,1,1,0,75.1,1,41.0,19.8,69.5,0,1,2,0,0,0,1,1,2,2,0,0,0,0,0.05,0.0,,,0,,9.5,59.1,100,100.0,0.0,Available,,False,,53,12,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Thapelo Maseko,South Africa,0,0,0,1,1,1,1,0,0,0,0,71.1,1,41.0,19.8,41.0,0,1,2,0,0,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,,9.5,43.4,100,100.0,0.0,Available,,False,,9,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Sphephelo Sithole,South Africa,0,0,0,1,0,1,1,0,1,1,0,75.1,1,41.0,19.8,61.0,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,,,0,,9.5,54.4,100,100.0,0.0,Available,,False,,27,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Mbekezeli Mbokazi,South Africa,0,0,0,0,0,1,0,0,1,1,0,75.1,1,47.5,19.8,44.1,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0.0,0.0,,,0,177.0,9.5,41.2,100,100.0,0.0,Available,,False,,10,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Iqraam Rayners,South Africa,0,0,0,1,1,1,1,0,0,0,0,71.1,1,41.0,19.8,48.4,0,1,2,0,0,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,176.0,9.5,47.5,100,100.0,0.0,Available,,False,,13,4,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Sipho Chaine,South Africa,0,0,0,0,0,0,0,0,1,1,0,73.1,0,41.0,19.8,27.2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0.0,0.0,,,0,181.0,9.5,37.9,100,100.0,0.0,Available,,False,,3,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Evidence Makgopa,South Africa,0,0,0,1,1,2,1,0,0,0,0,71.1,1,41.0,19.8,57.9,0,1,2,0,0,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,188.0,9.5,52.7,100,100.0,0.0,Available,,False,,26,6,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Samukele Kabini,South Africa,0,0,0,0,0,1,1,0,1,1,0,74.2,1,50.0,24.9,34.6,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0.0,0.0,,,0,181.0,35.0,45.0,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,5,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Nkosinathi Sibisi,South Africa,0,0,0,0,0,1,0,0,1,1,0,75.1,1,41.0,19.8,52.6,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0.0,0.0,,,0,177.0,9.5,45.8,100,100.0,0.0,Available,,False,,19,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Khuliso Mudau,South Africa,0,0,0,0,0,1,1,0,1,1,0,71.1,1,41.0,19.8,63.2,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0.0,0.0,,,0,181.0,9.5,55.7,100,100.0,0.0,Available,,False,,32,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ime Okon,South Africa,0,0,0,0,0,1,0,0,1,1,0,75.1,1,41.0,19.8,37.8,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0.0,0.0,,,0,,9.5,37.7,100,100.0,0.0,Available,,False,,7,1,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Ricardo Goss,South Africa,0,0,0,0,0,0,0,0,1,1,0,73.1,0,41.0,19.8,30.4,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0.0,0.0,,,0,181.0,9.5,39.6,100,100.0,0.0,Available,,False,,4,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Jayden Adams,South Africa,0,0,0,1,0,1,1,0,1,0,0,75.1,1,41.0,19.8,30.4,0,1,2,0,0,0,1,1,1,2,0,0,0,0,0.05,0.0,,,0,175.0,9.5,37.6,100,100.0,0.0,Available,,False,,4,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Olwethu Makhanya,South Africa,0,0,0,0,0,1,1,0,1,1,1,78.9,0,52.8,22.8,19.8,0,0,0,0,0,0,1,1,2,2,1,0,0,1,0.0,0.0,,,0,188.0,24.5,30.8,100,100.0,0.0,Available,,False,,0,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Kamogelo Sebelebele,South Africa,0,0,0,1,1,1,1,0,0,0,0,71.1,1,41.0,19.8,24.0,0,1,2,0,1,1,1,1,1,2,0,0,0,0,0.05,0.02,,,0,,9.5,34.1,100,100.0,0.0,Available,,False,,2,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Bradley Cross,South Africa,0,0,0,0,0,0,0,0,1,1,0,75.1,1,41.0,19.8,19.8,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0.0,0.0,,,0,,9.5,27.8,100,100.0,0.0,Available,,False,,0,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
Kim Seung-gyu,South Korea,0,0,0,0,0,2,1,0,1,1,0,72.6,1,45.3,22.2,67.4,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0.0,0.0,,,0,181.0,21.6,62.4,100,100.0,0.0,Available,0.0,False,https://github.com/salimt/football-datasets,86,0,real_wc2026_squads_transfermarkt_openfootball,2026-06-02
